season,team,title_prob
2006-2007,Cleveland Cavaliers,0.01845
2006-2007,Dallas Mavericks,0.64495
2006-2007,Denver Nuggets,0.00045
2006-2007,Detroit Pistons,0.0413
2006-2007,Golden State Warriors,0.00025
2006-2007,Houston Rockets,0.0076
2006-2007,Indiana Pacers,0.0
2006-2007,Los Angeles Clippers,0.0
2006-2007,Los Angeles Lakers,0.00025
2006-2007,Memphis Grizzlies,0.0
2006-2007,Miami Heat,0.0018
2006-2007,Milwaukee Bucks,0.0
2006-2007,Minnesota Timberwolves,0.0
2006-2007,New Jersey Nets,0.001
2006-2007,New Orleans/Oklahoma City Hornets,0.0
2006-2007,New York Knicks,0.0
2006-2007,Orlando Magic,0.00055
2006-2007,Philadelphia 76ers,0.0
2006-2007,Phoenix Suns,0.1745
2006-2007,Portland Trail Blazers,0.0
2006-2007,Sacramento Kings,0.0
2006-2007,San Antonio Spurs,0.06815
2006-2007,Seattle SuperSonics,0.0
2006-2007,Toronto Raptors,0.01405
2006-2007,Utah Jazz,0.00625
2006-2007,Washington Wizards,0.0009
2007-2008,Atlanta Hawks,0.00015
2007-2008,Boston Celtics,0.537
2007-2008,Charlotte Bobcats,0.0
2007-2008,Chicago Bulls,0.0
2007-2008,Cleveland Cavaliers,0.00185
2007-2008,Dallas Mavericks,0.0103
2007-2008,Denver Nuggets,0.0046
2007-2008,Detroit Pistons,0.13605
2007-2008,Golden State Warriors,0.0
2007-2008,Houston Rockets,0.0401
2007-2008,Indiana Pacers,0.0
2007-2008,Los Angeles Clippers,0.0
2007-2008,Los Angeles Lakers,0.07805
2007-2008,Memphis Grizzlies,0.0
2007-2008,Miami Heat,0.0
2007-2008,Milwaukee Bucks,0.0
2007-2008,Minnesota Timberwolves,0.0
2007-2008,New Jersey Nets,0.0
2007-2008,New Orleans Hornets,0.06585
2007-2008,New York Knicks,0.0
2007-2008,Orlando Magic,0.01465
2007-2008,Philadelphia 76ers,0.0001
2007-2008,Phoenix Suns,0.03495
2007-2008,Portland Trail Blazers,0.0
2007-2008,Sacramento Kings,0.0
2007-2008,San Antonio Spurs,0.0578
2007-2008,Seattle SuperSonics,0.0
2007-2008,Toronto Raptors,0.00025
2007-2008,Utah Jazz,0.0174
2007-2008,Washington Wizards,0.0009
2008-2009,Atlanta Hawks,0.0019
2008-2009,Boston Celtics,0.12165
2008-2009,Charlotte Bobcats,0.0
2008-2009,Chicago Bulls,5e-05
2008-2009,Cleveland Cavaliers,0.48885
2008-2009,Dallas Mavericks,0.0053
2008-2009,Denver Nuggets,0.02525
2008-2009,Detroit Pistons,0.0001
2008-2009,Golden State Warriors,0.0
2008-2009,Houston Rockets,0.0109
2008-2009,Indiana Pacers,0.0
2008-2009,Los Angeles Clippers,0.0
2008-2009,Los Angeles Lakers,0.25075
2008-2009,Memphis Grizzlies,0.0
2008-2009,Miami Heat,0.0001
2008-2009,Milwaukee Bucks,0.0
2008-2009,Minnesota Timberwolves,0.0
2008-2009,New Jersey Nets,0.0
2008-2009,New Orleans Hornets,0.00235
2008-2009,New York Knicks,0.0
2008-2009,Oklahoma City Thunder,0.0
2008-2009,Orlando Magic,0.0594
2008-2009,Philadelphia 76ers,5e-05
2008-2009,Phoenix Suns,0.0
2008-2009,Portland Trail Blazers,0.01785
2008-2009,Sacramento Kings,0.0
2008-2009,San Antonio Spurs,0.0146
2008-2009,Toronto Raptors,0.0
2008-2009,Utah Jazz,0.0009
2008-2009,Washington Wizards,0.0
2009-2010,Atlanta Hawks,0.04125
2009-2010,Boston Celtics,0.0266
2009-2010,Charlotte Bobcats,0.00115
2009-2010,Chicago Bulls,0.0012
2009-2010,Cleveland Cavaliers,0.2797
2009-2010,Dallas Mavericks,0.0973
2009-2010,Denver Nuggets,0.03935
2009-2010,Detroit Pistons,0.0
2009-2010,Golden State Warriors,0.0
2009-2010,Houston Rockets,0.0
2009-2010,Indiana Pacers,0.0
2009-2010,Los Angeles Clippers,0.0
2009-2010,Los Angeles Lakers,0.13785
2009-2010,Memphis Grizzlies,0.0
2009-2010,Miami Heat,0.00345
2009-2010,Milwaukee Bucks,0.0035
2009-2010,Minnesota Timberwolves,0.0
2009-2010,New Jersey Nets,0.0
2009-2010,New Orleans Hornets,0.0
2009-2010,New York Knicks,0.0
2009-2010,Oklahoma City Thunder,0.0177
2009-2010,Orlando Magic,0.23665
2009-2010,Philadelphia 76ers,0.0
2009-2010,Phoenix Suns,0.0421
2009-2010,Portland Trail Blazers,0.0143
2009-2010,Sacramento Kings,0.0
2009-2010,San Antonio Spurs,0.01325
2009-2010,Toronto Raptors,0.0
2009-2010,Utah Jazz,0.04465
2009-2010,Washington Wizards,0.0
2010-2011,Atlanta Hawks,0.0006
2010-2011,Boston Celtics,0.04265
2010-2011,Charlotte Bobcats,0.0
2010-2011,Chicago Bulls,0.2516
2010-2011,Cleveland Cavaliers,0.0
2010-2011,Dallas Mavericks,0.1205
2010-2011,Denver Nuggets,0.00745
2010-2011,Detroit Pistons,0.0
2010-2011,Golden State Warriors,0.0
2010-2011,Houston Rockets,0.0
2010-2011,Indiana Pacers,0.0001
2010-2011,Los Angeles Clippers,0.0
2010-2011,Los Angeles Lakers,0.068
2010-2011,Memphis Grizzlies,0.00145
2010-2011,Miami Heat,0.1407
2010-2011,Milwaukee Bucks,0.0
2010-2011,Minnesota Timberwolves,0.0
2010-2011,New Jersey Nets,0.0
2010-2011,New Orleans Hornets,0.00275
2010-2011,New York Knicks,0.00025
2010-2011,Oklahoma City Thunder,0.0446
2010-2011,Orlando Magic,0.02475
2010-2011,Philadelphia 76ers,0.00025
2010-2011,Phoenix Suns,0.0
2010-2011,Portland Trail Blazers,0.0035
2010-2011,Sacramento Kings,0.0
2010-2011,San Antonio Spurs,0.29085
2010-2011,Toronto Raptors,0.0
2010-2011,Utah Jazz,0.0
2010-2011,Washington Wizards,0.0
2011-2012,Atlanta Hawks,0.0087
2011-2012,Boston Celtics,0.0062
2011-2012,Charlotte Bobcats,0.0
2011-2012,Chicago Bulls,0.30395
2011-2012,Cleveland Cavaliers,0.0
2011-2012,Dallas Mavericks,0.0024
2011-2012,Denver Nuggets,0.00465
2011-2012,Detroit Pistons,0.0
2011-2012,Golden State Warriors,0.0
2011-2012,Houston Rockets,0.0
2011-2012,Indiana Pacers,0.01985
2011-2012,Los Angeles Clippers,0.0091
2011-2012,Los Angeles Lakers,0.02035
2011-2012,Memphis Grizzlies,0.017
2011-2012,Miami Heat,0.1214
2011-2012,Milwaukee Bucks,0.0
2011-2012,Minnesota Timberwolves,0.0
2011-2012,New Jersey Nets,0.0
2011-2012,New Orleans Hornets,0.0
2011-2012,New York Knicks,0.00065
2011-2012,Oklahoma City Thunder,0.1596
2011-2012,Orlando Magic,0.0017
2011-2012,Philadelphia 76ers,0.0008
2011-2012,Phoenix Suns,0.0
2011-2012,Portland Trail Blazers,0.0
2011-2012,Sacramento Kings,0.0
2011-2012,San Antonio Spurs,0.3219
2011-2012,Toronto Raptors,0.0
2011-2012,Utah Jazz,0.00175
2011-2012,Washington Wizards,0.0
2012-2013,Atlanta Hawks,0.00105
2012-2013,Boston Celtics,0.00015
2012-2013,Brooklyn Nets,0.00515
2012-2013,Charlotte Bobcats,0.0
2012-2013,Chicago Bulls,0.00105
2012-2013,Cleveland Cavaliers,0.0
2012-2013,Dallas Mavericks,0.0
2012-2013,Denver Nuggets,0.0647
2012-2013,Detroit Pistons,0.0
2012-2013,Golden State Warriors,0.00205
2012-2013,Houston Rockets,0.00075
2012-2013,Indiana Pacers,0.00765
2012-2013,Los Angeles Clippers,0.0312
2012-2013,Los Angeles Lakers,0.00055
2012-2013,Memphis Grizzlies,0.03045
2012-2013,Miami Heat,0.57695
2012-2013,Milwaukee Bucks,0.0
2012-2013,Minnesota Timberwolves,0.0
2012-2013,New Orleans Hornets,0.0
2012-2013,New York Knicks,0.03465
2012-2013,Oklahoma City Thunder,0.1475
2012-2013,Orlando Magic,0.0
2012-2013,Philadelphia 76ers,0.0
2012-2013,Phoenix Suns,0.0
2012-2013,Portland Trail Blazers,0.0
2012-2013,Sacramento Kings,0.0
2012-2013,San Antonio Spurs,0.09615
2012-2013,Toronto Raptors,0.0
2012-2013,Utah Jazz,0.0
2012-2013,Washington Wizards,0.0
2013-2014,Atlanta Hawks,0.0005
2013-2014,Boston Celtics,0.0
2013-2014,Brooklyn Nets,0.00225
2013-2014,Charlotte Bobcats,0.001
2013-2014,Chicago Bulls,0.0148
2013-2014,Cleveland Cavaliers,0.0
2013-2014,Dallas Mavericks,0.0042
2013-2014,Denver Nuggets,0.0
2013-2014,Detroit Pistons,0.0
2013-2014,Golden State Warriors,0.00905
2013-2014,Houston Rockets,0.0412
2013-2014,Indiana Pacers,0.1343
2013-2014,Los Angeles Clippers,0.08505
2013-2014,Los Angeles Lakers,0.0
2013-2014,Memphis Grizzlies,0.0077
2013-2014,Miami Heat,0.10855
2013-2014,Milwaukee Bucks,0.0
2013-2014,Minnesota Timberwolves,0.0
2013-2014,New Orleans Pelicans,0.0
2013-2014,New York Knicks,0.0
2013-2014,Oklahoma City Thunder,0.1893
2013-2014,Orlando Magic,0.0
2013-2014,Philadelphia 76ers,0.0
2013-2014,Phoenix Suns,0.0
2013-2014,Portland Trail Blazers,0.02745
2013-2014,Sacramento Kings,0.0
2013-2014,San Antonio Spurs,0.3664
2013-2014,Toronto Raptors,0.00705
2013-2014,Utah Jazz,0.0
2013-2014,Washington Wizards,0.0012
2014-2015,Atlanta Hawks,0.202
2014-2015,Boston Celtics,0.00015
2014-2015,Brooklyn Nets,0.0001
2014-2015,Charlotte Hornets,0.0
2014-2015,Chicago Bulls,0.0151
2014-2015,Cleveland Cavaliers,0.0393
2014-2015,Dallas Mavericks,0.0064
2014-2015,Denver Nuggets,0.0
2014-2015,Detroit Pistons,0.0
2014-2015,Golden State Warriors,0.57575
2014-2015,Houston Rockets,0.0527
2014-2015,Indiana Pacers,0.0
2014-2015,Los Angeles Clippers,0.05045
2014-2015,Los Angeles Lakers,0.0
2014-2015,Memphis Grizzlies,0.0234
2014-2015,Miami Heat,0.0
2014-2015,Milwaukee Bucks,0.00025
2014-2015,Minnesota Timberwolves,0.0
2014-2015,New Orleans Pelicans,0.0006
2014-2015,New York Knicks,0.0
2014-2015,Oklahoma City Thunder,0.0
2014-2015,Orlando Magic,0.0
2014-2015,Philadelphia 76ers,0.0
2014-2015,Phoenix Suns,0.0
2014-2015,Portland Trail Blazers,0.00635
2014-2015,Sacramento Kings,0.0
2014-2015,San Antonio Spurs,0.019
2014-2015,Toronto Raptors,0.00645
2014-2015,Utah Jazz,0.0
2014-2015,Washington Wizards,0.002
2015-2016,Atlanta Hawks,0.00255
2015-2016,Boston Celtics,0.0019
2015-2016,Brooklyn Nets,0.0
2015-2016,Charlotte Hornets,0.0016
2015-2016,Chicago Bulls,0.0
2015-2016,Cleveland Cavaliers,0.03315
2015-2016,Dallas Mavericks,0.0
2015-2016,Denver Nuggets,0.0
2015-2016,Detroit Pistons,0.0003
2015-2016,Golden State Warriors,0.73725
2015-2016,Houston Rockets,0.0
2015-2016,Indiana Pacers,0.00055
2015-2016,Los Angeles Clippers,0.00195
2015-2016,Los Angeles Lakers,0.0
2015-2016,Memphis Grizzlies,0.0
2015-2016,Miami Heat,0.0015
2015-2016,Milwaukee Bucks,0.0
2015-2016,Minnesota Timberwolves,0.0
2015-2016,New Orleans Pelicans,0.0
2015-2016,New York Knicks,0.0
2015-2016,Oklahoma City Thunder,0.00485
2015-2016,Orlando Magic,0.0
2015-2016,Philadelphia 76ers,0.0
2015-2016,Phoenix Suns,0.0
2015-2016,Portland Trail Blazers,0.0
2015-2016,Sacramento Kings,0.0
2015-2016,San Antonio Spurs,0.19075
2015-2016,Toronto Raptors,0.02365
2015-2016,Utah Jazz,0.0
2015-2016,Washington Wizards,0.0
2016-2017,Atlanta Hawks,0.00195
2016-2017,Boston Celtics,0.0551
2016-2017,Brooklyn Nets,0.0
2016-2017,Charlotte Hornets,0.0
2016-2017,Chicago Bulls,0.0011
2016-2017,Cleveland Cavaliers,0.0363
2016-2017,Dallas Mavericks,0.0
2016-2017,Denver Nuggets,0.0
2016-2017,Detroit Pistons,0.0
2016-2017,Golden State Warriors,0.61375
2016-2017,Houston Rockets,0.03905
2016-2017,Indiana Pacers,0.0011
2016-2017,Los Angeles Clippers,0.0103
2016-2017,Los Angeles Lakers,0.0
2016-2017,Memphis Grizzlies,0.00035
2016-2017,Miami Heat,0.0
2016-2017,Milwaukee Bucks,0.00175
2016-2017,Minnesota Timberwolves,0.0
2016-2017,New Orleans Pelicans,0.0
2016-2017,New York Knicks,0.0
2016-2017,Oklahoma City Thunder,0.0023
2016-2017,Orlando Magic,0.0
2016-2017,Philadelphia 76ers,0.0
2016-2017,Phoenix Suns,0.0
2016-2017,Portland Trail Blazers,0.0002
2016-2017,Sacramento Kings,0.0
2016-2017,San Antonio Spurs,0.18625
2016-2017,Toronto Raptors,0.0264
2016-2017,Utah Jazz,0.00755
2016-2017,Washington Wizards,0.01655
2017-2018,Atlanta Hawks,0.0
2017-2018,Boston Celtics,0.07125
2017-2018,Brooklyn Nets,0.0
2017-2018,Charlotte Hornets,0.0
2017-2018,Chicago Bulls,0.0
2017-2018,Cleveland Cavaliers,0.0131
2017-2018,Dallas Mavericks,0.0
2017-2018,Denver Nuggets,0.0
2017-2018,Detroit Pistons,0.0
2017-2018,Golden State Warriors,0.12605
2017-2018,Houston Rockets,0.51925
2017-2018,Indiana Pacers,0.0071
2017-2018,Los Angeles Clippers,0.0
2017-2018,Los Angeles Lakers,0.0
2017-2018,Memphis Grizzlies,0.0
2017-2018,Miami Heat,0.00125
2017-2018,Milwaukee Bucks,0.0016
2017-2018,Minnesota Timberwolves,0.00445
2017-2018,New Orleans Pelicans,0.0073
2017-2018,New York Knicks,0.0
2017-2018,Oklahoma City Thunder,0.006
2017-2018,Orlando Magic,0.0
2017-2018,Philadelphia 76ers,0.03285
2017-2018,Phoenix Suns,0.0
2017-2018,Portland Trail Blazers,0.01005
2017-2018,Sacramento Kings,0.0
2017-2018,San Antonio Spurs,0.00255
2017-2018,Toronto Raptors,0.18915
2017-2018,Utah Jazz,0.00695
2017-2018,Washington Wizards,0.0011
2018-2019,Atlanta Hawks,0.0
2018-2019,Boston Celtics,0.0142
2018-2019,Brooklyn Nets,0.0013
2018-2019,Charlotte Hornets,0.0
2018-2019,Chicago Bulls,0.0
2018-2019,Cleveland Cavaliers,0.0
2018-2019,Dallas Mavericks,0.0
2018-2019,Denver Nuggets,0.091
2018-2019,Detroit Pistons,0.0003
2018-2019,Golden State Warriors,0.16245
2018-2019,Houston Rockets,0.05735
2018-2019,Indiana Pacers,0.0086
2018-2019,Los Angeles Clippers,0.0094
2018-2019,Los Angeles Lakers,0.0
2018-2019,Memphis Grizzlies,0.0
2018-2019,Miami Heat,0.0
2018-2019,Milwaukee Bucks,0.3176
2018-2019,Minnesota Timberwolves,0.0
2018-2019,New Orleans Pelicans,0.0
2018-2019,New York Knicks,0.0
2018-2019,Oklahoma City Thunder,0.01405
2018-2019,Orlando Magic,0.00105
2018-2019,Philadelphia 76ers,0.03045
2018-2019,Phoenix Suns,0.0
2018-2019,Portland Trail Blazers,0.0536
2018-2019,Sacramento Kings,0.0
2018-2019,San Antonio Spurs,0.0084
2018-2019,Toronto Raptors,0.21255
2018-2019,Utah Jazz,0.0177
2018-2019,Washington Wizards,0.0
2019-2020,Atlanta Hawks,0.0
2019-2020,Boston Celtics,0.028
2019-2020,Brooklyn Nets,0.00015
2019-2020,Charlotte Hornets,0.0
2019-2020,Chicago Bulls,0.0
2019-2020,Cleveland Cavaliers,0.0
2019-2020,Dallas Mavericks,0.0032
2019-2020,Denver Nuggets,0.0224
2019-2020,Detroit Pistons,0.0
2019-2020,Golden State Warriors,0.0
2019-2020,Houston Rockets,0.0122
2019-2020,Indiana Pacers,0.0071
2019-2020,Los Angeles Clippers,0.0856
2019-2020,Los Angeles Lakers,0.27185
2019-2020,Memphis Grizzlies,0.0
2019-2020,Miami Heat,0.0043
2019-2020,Milwaukee Bucks,0.34665
2019-2020,Minnesota Timberwolves,0.0
2019-2020,New Orleans Pelicans,0.0
2019-2020,New York Knicks,0.0
2019-2020,Oklahoma City Thunder,0.0116
2019-2020,Orlando Magic,0.0
2019-2020,Philadelphia 76ers,0.00415
2019-2020,Phoenix Suns,0.0
2019-2020,Portland Trail Blazers,0.0002
2019-2020,Sacramento Kings,0.0
2019-2020,San Antonio Spurs,0.0
2019-2020,Toronto Raptors,0.1944
2019-2020,Utah Jazz,0.0082
2019-2020,Washington Wizards,0.0
2020-2021,Atlanta Hawks,0.01155
2020-2021,Boston Celtics,0.0012
2020-2021,Brooklyn Nets,0.1169
2020-2021,Charlotte Hornets,0.0
2020-2021,Chicago Bulls,0.0
2020-2021,Cleveland Cavaliers,0.0
2020-2021,Dallas Mavericks,0.0082
2020-2021,Denver Nuggets,0.0606
2020-2021,Detroit Pistons,0.0
2020-2021,Golden State Warriors,0.00255
2020-2021,Houston Rockets,0.0
2020-2021,Indiana Pacers,0.00045
2020-2021,Los Angeles Clippers,0.05615
2020-2021,Los Angeles Lakers,0.00795
2020-2021,Memphis Grizzlies,0.0
2020-2021,Miami Heat,0.00575
2020-2021,Milwaukee Bucks,0.057
2020-2021,Minnesota Timberwolves,0.0
2020-2021,New Orleans Pelicans,0.0
2020-2021,New York Knicks,0.0103
2020-2021,Oklahoma City Thunder,0.0
2020-2021,Orlando Magic,0.0
2020-2021,Philadelphia 76ers,0.18115
2020-2021,Phoenix Suns,0.19365
2020-2021,Portland Trail Blazers,0.007
2020-2021,Sacramento Kings,0.0
2020-2021,San Antonio Spurs,0.0
2020-2021,Toronto Raptors,0.0
2020-2021,Utah Jazz,0.2796
2020-2021,Washington Wizards,0.0
2021-2022,Atlanta Hawks,0.0
2021-2022,Boston Celtics,0.0522
2021-2022,Brooklyn Nets,0.00515
2021-2022,Charlotte Hornets,0.0
2021-2022,Chicago Bulls,0.00895
2021-2022,Cleveland Cavaliers,0.0037
2021-2022,Dallas Mavericks,0.0295
2021-2022,Denver Nuggets,0.00685
2021-2022,Detroit Pistons,0.0
2021-2022,Golden State Warriors,0.0557
2021-2022,Houston Rockets,0.0
2021-2022,Indiana Pacers,0.0
2021-2022,Los Angeles Clippers,0.0009
2021-2022,Los Angeles Lakers,0.0
2021-2022,Memphis Grizzlies,0.10935
2021-2022,Miami Heat,0.08655
2021-2022,Milwaukee Bucks,0.04445
2021-2022,Minnesota Timberwolves,0.0047
2021-2022,New Orleans Pelicans,0.0
2021-2022,New York Knicks,0.0
2021-2022,Oklahoma City Thunder,0.0
2021-2022,Orlando Magic,0.0
2021-2022,Philadelphia 76ers,0.04005
2021-2022,Phoenix Suns,0.5274
2021-2022,Portland Trail Blazers,0.0
2021-2022,Sacramento Kings,0.0
2021-2022,San Antonio Spurs,0.0
2021-2022,Toronto Raptors,0.0153
2021-2022,Utah Jazz,0.00925
2021-2022,Washington Wizards,0.0
2022-2023,Atlanta Hawks,0.0019
2022-2023,Boston Celtics,0.20495
2022-2023,Brooklyn Nets,0.00605
2022-2023,Charlotte Hornets,0.0
2022-2023,Chicago Bulls,0.0
2022-2023,Cleveland Cavaliers,0.0463
2022-2023,Dallas Mavericks,0.0
2022-2023,Denver Nuggets,0.14415
2022-2023,Detroit Pistons,0.0
2022-2023,Golden State Warriors,0.0104
2022-2023,Houston Rockets,0.0
2022-2023,Indiana Pacers,0.0
2022-2023,Los Angeles Clippers,0.00875
2022-2023,Los Angeles Lakers,0.0066
2022-2023,Memphis Grizzlies,0.08275
2022-2023,Miami Heat,0.00445
2022-2023,Milwaukee Bucks,0.30815
2022-2023,Minnesota Timberwolves,0.0047
2022-2023,New Orleans Pelicans,0.0
2022-2023,New York Knicks,0.01225
2022-2023,Oklahoma City Thunder,0.0
2022-2023,Orlando Magic,0.0
2022-2023,Philadelphia 76ers,0.10685
2022-2023,Phoenix Suns,0.018
2022-2023,Portland Trail Blazers,0.0
2022-2023,Sacramento Kings,0.03375
2022-2023,San Antonio Spurs,0.0
2022-2023,Toronto Raptors,0.0
2022-2023,Utah Jazz,0.0
2022-2023,Washington Wizards,0.0
